,title,meta,id,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,label,artist
4751,What A Man Gotta Do,spotify:track:4wNIkl5XGiAACjFBlDWuSd,4wNIkl5XGiAACjFBlDWuSd,0.852,0.698,9,1,0.00839,1.03e-06,113.039,0.324,0.0629,-7.206,party,Jonas Brothers
4752,Just Dance,spotify:track:6HkjpGIOHv4y0IBAxUbE5z,6HkjpGIOHv4y0IBAxUbE5z,0.822,0.737,1,0,0.0261,4.19e-05,118.994,0.753,0.0314,-4.542,party,Lady Gaga
4753,All You Need To Know (feat. Calle Lehmann),spotify:track:4TIkSdsNSfqpuq6ZYvCjAz,4TIkSdsNSfqpuq6ZYvCjAz,0.53,0.729,0,1,0.00699,0,139.929,0.219,0.0376,-6.019,party,Gryffin
4754,Blanco,spotify:track:2rc7BkzO8qepMFAxHtOrXc,2rc7BkzO8qepMFAxHtOrXc,0.87,0.706,9,0,0.0253,0.0063,100.013,0.593,0.126,-5.395,party,J Balvin
4755,Flames (with ZAYN) - R3HAB & Skytech VIP Remix,spotify:track:2bZYJvVRN5EqIvAUFhUNls,2bZYJvVRN5EqIvAUFhUNls,0.355,0.789,5,0,0.0148,0,80.444,0.169,0.165,-4.358,party,R3HAB
4756,Good Things Fall Apart (with Jon Bellion),spotify:track:6pooRNiLyYpxZeIA5kJ5EX,6pooRNiLyYpxZeIA5kJ5EX,0.643,0.594,2,1,0.0128,0,144.033,0.442,0.0318,-5.453,party,ILLENIUM
4757,Dynamite,spotify:track:2CEgGE6aESpnmtfiZwYlbV,2CEgGE6aESpnmtfiZwYlbV,0.751,0.783,4,1,0.00379,0,119.975,0.816,0.0859,-3.724,party,Taio Cruz
4758,Bang Bang,spotify:track:3SaIsrEzrQGDcG1jCeaK8q,3SaIsrEzrQGDcG1jCeaK8q,0.711,0.774,0,0,0.259,0,150.032,0.715,0.0922,-3.391,party,Jessie J
4759,Nice To Meet Ya,spotify:track:3cphb8kdsjElYR7r5icK3H,3cphb8kdsjElYR7r5icK3H,0.591,0.841,4,0,0.0119,0,109.034,0.392,0.0304,-4.351,party,Niall Horan
4760,Mad Love,spotify:track:79JBjIq90BrQ8Ws0pUhlzD,79JBjIq90BrQ8Ws0pUhlzD,0.622,0.796,0,0,0.667,0,197.705,0.62,0.172,-2.999,party,Mabel
4761,SOS,spotify:track:6nDKrPlXdpomGBgAlO7UdP,6nDKrPlXdpomGBgAlO7UdP,0.802,0.645,5,0,0.272,0,100.001,0.376,0.0715,-6.181,party,Avicii
4762,Don't Call Me Up,spotify:track:5WHTFyqSii0lmT9R21abT8,5WHTFyqSii0lmT9R21abT8,0.674,0.881,9,1,0.296,3.01e-06,98.994,0.234,0.147,-2.853,party,Mabel
4763,Here With Me,spotify:track:5icOoE6VgqFKohjWWNp0Ac,5icOoE6VgqFKohjWWNp0Ac,0.791,0.565,5,0,0.0623,0,99.961,0.181,0.0439,-3.933,party,Marshmello
4764,Wake Me Up,spotify:track:294vBlXfZYspeI29SXZaON,294vBlXfZYspeI29SXZaON,0.512,0.803,2,1,0.00362,0.000583,124.162,0.591,0.0531,-5.135,party,Avicii
