,acousticness,artist,class,danceability,energy,instrumentalness,key,loudness,mode,playlist_id,speechiness,tempo,title,valence,category,tf_idf_wonder,tf_idf_transcendence,tf_idf_nostalgia,tf_idf_tenderness,tf_idf_peacefullness,tf_idf_power,tf_idf_joyful,tf_idf_tension,tf_idf_sadness
69,0.00999,Lemaitre,happy,0.632,0.79,0.0111,8,-6.832999999999999,0,37i9dQZF1DWSf2RDTDayIx,0.0373,148.14600000000002,Eyes Wide Open,0.386,wonder,12.090010628072024,0.0,0.0,0.0,0.0,5.650147258823569,0.0,0.0,0.0
70,0.00294,Cahill,happy,0.61,0.9640000000000001,0.000798,11,-3.677,1,37i9dQZF1DWSf2RDTDayIx,0.0387,124.919,Only You,0.415,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0604,Ron Carroll,happy,0.5920000000000001,0.794,0.035,5,-7.2410000000000005,0,37i9dQZF1DWSf2RDTDayIx,0.0475,125.99600000000001,Don't You Worry - Radio Mix,0.253,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.00065,Wh0,happy,0.743,0.937,0.8420000000000001,8,-5.13,1,37i9dQZF1DWSf2RDTDayIx,0.184,124.98100000000001,Lighta,0.489,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.00020899999999999998,Studio 54 Music,happy,0.701,0.81,0.0968,5,-7.999,1,37i9dQZF1DWSf2RDTDayIx,0.0348,125.008,Souvenirs,0.8420000000000001,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.000816,House Gospel Choir,happy,0.6459999999999999,0.7959999999999999,0.000154,0,-6.88,1,37i9dQZF1DWSf2RDTDayIx,0.0384,123.999,Most Precious Love,0.71,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.00426,Prospa,happy,0.757,0.82,0.42100000000000004,10,-4.999,1,37i9dQZF1DWSf2RDTDayIx,0.0406,128.012,Ecstasy (Over & Over) - Edit,0.6559999999999999,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0020399999999999997,DAZZ,happy,0.627,0.862,3.63e-05,6,-4.773,1,37i9dQZF1DWSf2RDTDayIx,0.10400000000000001,126.041,I Just Got 2,0.313,wonder,6.450470422144176,0.0,0.0,0.0,0.0,0.0,6.398594934535208,0.0,0.0
77,0.00442,Midsplit,happy,0.7809999999999999,0.718,0.0,11,-7.814,0,37i9dQZF1DWSf2RDTDayIx,0.387,123.992,Good Dream,0.304,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0144,ricky retro,happy,0.607,0.932,0.7909999999999999,9,-3.339,1,37i9dQZF1DWSf2RDTDayIx,0.275,125.01299999999999,Good Times,0.44799999999999995,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.00123,Groove Delight,happy,0.7759999999999999,0.8190000000000001,0.297,6,-4.843999999999999,1,37i9dQZF1DWSf2RDTDayIx,0.0334,120.01299999999999,Have Fun,0.763,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
