,title,meta,id,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,artist,mood
3139,It's Not You It's Me,spotify:track:1mlPJV42yAsOwN3Rw6ZKFw,1mlPJV42yAsOwN3Rw6ZKFw,0.616,0.468,4,0,0.00278,0.0651,167.962,0.358,0.172,-16.054,BØJET,sad
3140,It's a Wonderful Life,spotify:track:4TYZXfu6VeblQMK2TwbDte,4TYZXfu6VeblQMK2TwbDte,0.758,0.281,11,0,0.773,0.167,100.009,0.0801,0.0619,-19.92,S E S H,sad
3141,Way Out,spotify:track:4icw42FI2fL71vF0OPh8dM,4icw42FI2fL71vF0OPh8dM,0.472,0.502,5,0,0.951,0.953,127.629,0.82,0.128,-16.644,Bard,sad
3142,Why,spotify:track:3DUNxy717XzzoB1ACcV8Yj,3DUNxy717XzzoB1ACcV8Yj,0.852,0.317,8,1,0.757,0.153,84.0,0.495,0.101,-12.97,Teqkoi,sad
3143,Tryumph,spotify:track:3h8aMAhZ021XajpFThVsRK,3h8aMAhZ021XajpFThVsRK,0.672,0.412,10,0,0.43,0.206,134.42,0.251,0.0537,-16.22,Beowülf,sad
3144,Lonely Together,spotify:track:1dWvtsYY1wrY0wY4ECZvKV,1dWvtsYY1wrY0wY4ECZvKV,0.73,0.488,10,1,0.908,0.0619,97.008,0.207,0.0255,-7.692,Sweethart,sad
3145,Open Your Eyes,spotify:track:137rjJuzMkmff5dMrunG5M,137rjJuzMkmff5dMrunG5M,0.493,0.611,6,1,0.854,0.888,138.018,0.126,0.0317,-12.034,CMA,sad
3146,I Can't Describe This Feeling.,spotify:track:2KZfzEcdiS5TBRBcgmChfI,2KZfzEcdiS5TBRBcgmChfI,0.66,0.325,9,1,0.767,0.738,120.006,0.0885,0.0385,-12.066,Nekoi,sad
3147,Violent Smile,spotify:track:0skgl3xkLnwtS45tPviIrR,0skgl3xkLnwtS45tPviIrR,0.637,0.559,2,1,0.0757,0.00017,125.031,0.33,0.0341,-5.196,Hotel Books,sad
3148,It's Not the Same Anymore,spotify:track:3BlbRsANHfoWMZotHaUl3m,3BlbRsANHfoWMZotHaUl3m,0.421,0.385,9,0,0.0237,0.392,134.923,0.062,0.0365,-11.004,Zaini,sad
3149,I'm Afraid I'm Gonna Lose You Soon,spotify:track:4alKrcnLX4RDCfXSmjJCFk,4alKrcnLX4RDCfXSmjJCFk,0.714,0.137,5,1,0.887,0.00291,94.004,0.162,0.0375,-16.493,Thomas Reid,sad
3150,All These Lies I've Been Told,spotify:track:6o4JaMBWtxuIwV2XzQPgNs,6o4JaMBWtxuIwV2XzQPgNs,0.696,0.119,1,1,0.884,8.09e-06,75.966,0.322,0.0742,-17.44,Teqkoi,sad
3151,Bells,spotify:track:7MhEqqGaUdgyUPrcI2oFjr,7MhEqqGaUdgyUPrcI2oFjr,0.612,0.4,9,0,0.34,0.726,128.044,0.0394,0.0289,-11.949,Late June,sad
3152,I've Told You,spotify:track:72dEqWYYrMTPJL4vZ9mWNk,72dEqWYYrMTPJL4vZ9mWNk,0.722,0.0846,6,1,0.582,0.000605,59.981,0.515,0.0468,-24.972,SEA,sad
3153,why is the world so lonely,spotify:track:2wekZQTJRIOGaz5bv4fmy3,2wekZQTJRIOGaz5bv4fmy3,0.62,0.207,4,0,0.829,0.0144,97.037,0.131,0.0264,-18.774,itssvd,sad
3154,Don't You Play Your Games,spotify:track:4oK49LVtlGuw8DQMMN2PxO,4oK49LVtlGuw8DQMMN2PxO,0.546,0.24,4,1,0.86,0.000262,96.663,0.565,0.0324,-14.711,Teqkoi,sad
3155,Don't Mind Me,spotify:track:1VhWcrWhZ9jMfadC24umib,1VhWcrWhZ9jMfadC24umib,0.49,0.388,8,1,0.126,0.774,144.025,0.0884,0.0358,-11.734,Late June,sad
3156,Bojack,spotify:track:5URIjt82k7KbSZGJ7okwFO,5URIjt82k7KbSZGJ7okwFO,0.526,0.121,9,0,0.834,0.00458,80.013,0.209,0.37,-21.656,Blurred,sad
3157,In Your Arms,spotify:track:1s3L7uizKgPgIwlMx05r2K,1s3L7uizKgPgIwlMx05r2K,0.555,0.592,4,0,0.00529,0.0271,142.062,0.0493,0.039,-9.553,Late June,sad
3158,A Creature Like Me,spotify:track:024z0GzKS41Irj7Q4iX5OF,024z0GzKS41Irj7Q4iX5OF,0.643,0.355,8,1,0.244,0.317,79.976,0.651,0.292,-14.164,redrose,sad
3159,Feelings,spotify:track:4Ui9D6lrNFARfp3Xwv9WVi,4Ui9D6lrNFARfp3Xwv9WVi,0.42,0.153,11,1,0.948,0.569,84.146,0.59,0.0573,-18.428,Teqkoi,sad
3160,Let Go and Relax,spotify:track:0432czMUYajdVkmmWSi3hB,0432czMUYajdVkmmWSi3hB,0.59,0.289,9,0,0.98,0.000314,90.563,0.358,0.729,-16.584,The Red Pill,sad
3161,Desire_x,spotify:track:3mSssDMFQJqXa8TeSqiGjG,3mSssDMFQJqXa8TeSqiGjG,0.402,0.42,3,0,0.916,0.795,78.876,0.679,0.0478,-8.769,Altitude.,sad
3162,Waiting for You to Love Me,spotify:track:7AufQRYjaWjFIhwxLQszhi,7AufQRYjaWjFIhwxLQszhi,0.638,0.288,8,0,0.949,0.897,120.128,0.788,0.0475,-15.475,Teqkoi,sad
3163,Nowhere to Go,spotify:track:1B2HEQ2QZfoFPCBwYWr1kN,1B2HEQ2QZfoFPCBwYWr1kN,0.563,0.178,4,0,0.838,0.945,119.911,0.136,0.0426,-18.332,Illuwn,sad
3164,If You Had,spotify:track:0sAMm8kzHDDnQinkmNO7jo,0sAMm8kzHDDnQinkmNO7jo,0.525,0.291,7,0,0.389,0.792,70.028,0.118,0.0825,-16.55,Aether,sad
3165,All Is Well,spotify:track:31QdUtYF39PKBgcex4uECy,31QdUtYF39PKBgcex4uECy,0.567,0.588,8,0,0.217,0.213,145.901,0.104,0.0569,-12.54,Late June,sad
3166,Wonderin' Why,spotify:track:5CXWgz4InWqEFqtqh5qEDc,5CXWgz4InWqEFqtqh5qEDc,0.834,0.767,9,1,0.412,0.0281,104.987,0.343,0.0928,-7.023,Thomas Reid,sad
3167,Like It Was Yesterday,spotify:track:7LQNvUM7lTXas0hed2xwbm,7LQNvUM7lTXas0hed2xwbm,0.679,0.367,3,1,0.674,0.77,122.076,0.376,0.0332,-13.372,Late June,sad
3168,One Thirteen,spotify:track:6PqujGnnlXMvjvq8cYqokO,6PqujGnnlXMvjvq8cYqokO,0.785,0.6,11,0,0.406,0.00153,132.045,0.563,0.0727,-9.634,Rob Curly,sad
3169,Ross & Rachel,spotify:track:2zJr0nx30P5hQm3tpYoeTM,2zJr0nx30P5hQm3tpYoeTM,0.854,0.286,7,0,0.918,0.125,120.153,0.645,0.368,-15.862,Orca Vibes,sad
3170,Take A Chance,spotify:track:4GCccsTNiQD4dWMyvwLcS3,4GCccsTNiQD4dWMyvwLcS3,0.485,0.335,8,1,0.0103,0.000123,65.037,0.152,0.0452,-10.71,Late June,sad
3171,Dinosaur,spotify:track:0Bw8fmo8dm9tgoQp6yD9qo,0Bw8fmo8dm9tgoQp6yD9qo,0.676,0.496,5,0,0.715,0.936,104.996,0.26,0.032,-9.974,Joey Pecoraro,sad
3172,Holding You Close,spotify:track:13zPoKbxZJtCUkViIfnmB7,13zPoKbxZJtCUkViIfnmB7,0.556,0.657,0,0,0.219,0.881,129.92,0.21,0.0442,-10.011,Late June,sad
3173,Polka Dots & Moonbeams,spotify:track:0g2V5xdJRYoDjdBi2tEflA,0g2V5xdJRYoDjdBi2tEflA,0.651,0.308,6,1,0.88,0.617,169.211,0.945,0.0751,-10.709,Hentaidesu,sad
3174,i still have all our old texts,spotify:track:7Iakqk79FFzVMseSZIOSpT,7Iakqk79FFzVMseSZIOSpT,0.522,0.234,10,1,0.638,0.0023,79.484,0.17,0.295,-19.862,frumhere,sad
3175,Imagination,spotify:track:3yPjytXpMpUK1AsEpur8rW,3yPjytXpMpUK1AsEpur8rW,0.78,0.144,1,1,0.656,1.27e-06,57.5,0.185,0.106,-16.471,Timmies,sad
3176,revealing hope w/ Lil Lotus,spotify:track:564Atf80eFptogZWqWw7dP,564Atf80eFptogZWqWw7dP,0.622,0.313,2,1,0.666,0.227,119.58,0.456,0.0431,-12.814,killedmyself,sad
